Fit measure,Value,Fit measure,Value
baseline.chisq,52.859,bic2,12131.782
baseline.df,3.000,rmsea,0.000
baseline.pvalue,0.000,rmsea.ci.lower,0.000
cfi,0.990,rmsea.ci.upper,0.000
tli,0.990,rmr,0.000
nnfi,0.990,rmr_nomean,0.000
rfi,0.990,srmr,0.000
nfi,0.990,srmr_bentler,0.000
pnfi,0.000,srmr_bentler_nomean,0.000
logl,-6055.485,crmr,0.000
unrestricted.logl,-6055.485,crmr_nomean,0.000
aic,12120.971,srmr_mplus,0.000
bic,12147.665,srmr_mplus_nomean,0.000
ntotal,1539.000,gfi,0.990
mfi,0.990,agfi,0.990
ecvi,0.006,pgfi,0.000
