Fit Measure,Value,Fit Measure,Value
baseline.chisq,55.537,ntotal,1539.000
baseline.df,3.000,bic2,10798.512
baseline.pvalue,0.000,rmsea,0.000
cfi,0.999,rmsea.ci.lower,0.000
tli,0.999,rmsea.ci.upper,0.000
nnfi,0.999,rmr,0.000
rfi,0.999,rmr_nomean,0.000
nfi,0.999,srmr,0.000
pnfi,0.000,srmr_bentler,0.000
ifi,0.999,srmr_bentler_nomean,0.000
rni,0.999,crmr,0.000
logl,-5388.851,crmr_nomean,0.000
unrestricted.logl,-5388.851,srmr_mplus,0.000
aic,10787.701,srmr_mplus_nomean,0.000
bic,10814.396,cn_05,0.999
ecvi,0.006,cn_01,0.999
pgfi,0.000,gfi,0.999
mfi,0.999,agfi,0.999
